"year","cowcode","ln_gdpen"
1948,900,1.779011846
1949,900,1.788587809
1950,900,1.898818493
1951,900,1.888886213
1952,900,1.791592836
1953,900,1.893111944
1954,900,1.952885747
1955,900,1.975468993
1956,900,1.953311324
1957,900,1.950755477
1958,900,1.999180079
1959,900,2.041869402
1960,900,2.051813364
1961,900,2.024985313
1962,900,2.076562405
1963,900,2.124534369
1964,900,2.18053031
1965,900,2.177361965
1966,900,2.213207245
1967,900,2.236552238
1968,900,2.311247349
1969,900,2.342190266
1970,900,2.375463724
1971,900,2.387477636
1972,900,2.410901308
1973,900,2.4435637
1974,900,2.432823658
1975,900,2.442955494
1976,900,2.463172197
1977,900,2.456335783
1978,900,2.498234034
1979,900,2.503646612
1980,900,2.527327299
1981,900,2.540735483
1982,900,2.49584651
1983,900,2.548194408
1984,900,2.585807323
1985,900,2.608819008
1986,900,2.61065793
1987,900,2.646316767
1988,900,2.68811965
1989,900,2.698269129
1990,900,2.670348406
1991,900,2.657177925
1992,900,2.671247959
1993,900,2.701870441
1994,900,2.735692024
1995,900,2.767949104
1996,900,2.791415215
1997,900,2.825574875
1998,900,2.858193398
1999,900,2.88979888
2000,900,0.860983627
1945,305,0.851230021
1946,305,0.851066466
1947,305,0.855332899
1948,305,0.856186877
1949,305,0.85611953
1950,305,1.075002432
1951,305,1.139434338
1952,305,1.12914145
1953,305,1.157824159
1954,305,1.245306611
1955,305,1.357380271
1956,305,1.39277339
1957,305,1.448799491
1958,305,1.485913515
1959,305,1.51841855
1960,305,1.637636542
1961,305,1.684174299
1962,305,1.701287508
1963,305,1.738358736
1964,305,1.788086057
1965,305,1.81547606
1966,305,1.862062573
1967,305,1.886463404
1968,305,1.923810601
1969,305,1.968789339
1970,305,2.01623559
1971,305,2.060640812
1972,305,2.11456728
1973,305,2.159753323
1974,305,2.194331408
1975,305,2.190088034
1976,305,2.236552238
1977,305,2.280543804
1978,305,2.277575016
1979,305,2.324053049
1980,305,2.352231979
1981,305,2.342478514
1982,305,2.349850416
1983,305,2.372857094
1984,305,2.386650562
1985,305,2.409734011
1986,305,2.421523094
1987,305,2.439037323
1988,305,2.477042437
1989,305,2.511305094
1990,305,2.541208267
1991,305,2.553343773
1992,305,2.561481714
1993,305,2.556900024
1994,305,2.577131033
1995,305,2.595068932
1996,305,2.613198757
1997,305,2.623380184
1998,305,2.651009321
1999,305,2.669814348
2000,305,0.856571219
1991,373,1.161392093
1992,373,0.712377548
1993,373,0.57123208
1994,373,0.243041903
1995,373,0.105961412
1996,373,0.108779036
1997,373,0.155544519
1998,373,0.241710946
1999,373,0.303914338
2000,373,0.857285893
1973,31,0.838425011
1974,31,0.845314864
1975,31,0.852862776
1976,31,0.855218789
1977,31,0.855115349
1978,31,0.856772936
1979,31,0.858388036
1980,31,0.857487002
1981,31,0.85625251
1982,31,0.859017056
1983,31,0.856844504
1984,31,0.857986529
1985,31,0.858789985
1986,31,0.855971188
1987,31,0.85974536
1988,31,0.859736964
1989,31,0.856314195
1990,31,0.856942824
1991,31,0.857833822
1992,31,0.857180564
1993,31,0.857513077
1994,31,0.857770051
1995,31,0.857493023
1996,31,0.857640182
1997,31,0.858041544
1998,31,0.857553672
1999,31,0.858181523
2000,31,0.857680673
1971,692,2.833977699
1972,692,2.698403835
1973,692,2.625030756
1974,692,2.573527813
1975,692,2.317572117
1976,692,2.534252167
1977,692,2.597640038
1978,692,2.568481445
1979,692,2.554044008
1980,692,2.543489933
1981,692,2.439124584
1982,692,2.32062149
1983,692,2.331561089
1984,692,2.336793184
1985,692,2.256227016
1986,692,2.210360289
1987,692,2.180982113
1988,692,2.220398426
1989,692,2.199065685
1990,692,2.183708668
1991,692,2.218026876
1992,692,2.271656275
1993,692,2.316900253
1994,692,2.3037076
1995,692,2.28975153
1996,692,2.282764435
1997,692,2.278727531
1998,692,2.263375998
1999,692,0.858769053
2000,692,0.856849614
1971,771,0.86299828
1972,771,-0.112049513
1973,771,-0.279713929
1974,771,-0.032523196
1975,771,-0.043951869
1976,771,-0.006018055
